"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","52","0","","0"
"0","","0","Authentication","3","0","Locked-user","0"
"0","","0","Authentication","3","0","Invalid Credentials","0"
"0","","0","Checkout","3","0","Checkout Validation","0"
"0","","0","Authentication","3","0","Empty Password","0"
"0","","0","Authentication","3","0","Succesfull Login","0"
"0","","0","Authentication","3","0","Empty Username","0"
"0","","0","Checkout","3","0","Complete Purchase Flow","0"
"0","","0","API Posts","1","0","Create Post","0"
"0","","0","Authentication","3","0","Login Page UI","0"
